,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-13 658,0,0,0.08,0.52,0.072144,0,1.079391,0,-0.095001,0,0,1.08596265,-2.176637,1.541644,-0.487187
02-20-13 660,0,0,0,0.36,0.072144,0,1.079391,0,-0.095001,0,0,1.08596265,-2.176637,1.541644,-0.487187
02-20-13 695,0,0,0,0.2,0.072144,0,1.079391,0,-0.095001,0,0,1.08596265,-2.176637,1.541644,-0.487187
02-20-13 755,0,0,0,0.12,0.072144,0,1.079391,0,-0.095001,0,0,1.08596265,0.526548,-0.109205,0.147831
02-20-13 802,0,0,0,0.04,0.032196,0.039948,0.75766,0.321731,-0.008789,0.086212,0.33546861,0.758394689,0.526548,-0.109205,0.147831
02-20-13 851,0,0,0,0,0.032196,0,0.75766,0,-0.008789,0,0,0.758394689,0.526548,-0.109205,0.147831
02-20-13 900,0,0,0,0,0.032196,0,0.75766,0,-0.008789,0,0,0.758394689,0.526548,-0.109205,0.147831
02-20-13 961,0,0,0,0,0.032196,0,0.75766,0,-0.008789,0,0,0.758394689,0.227495,0.346056,-0.093352
02-20-14 007,0,0,0,0,0.174133,0.141937,1.632538,0.874878,0.042709,0.051498,0.887811732,1.642354006,0.227495,0.346056,-0.093352
02-20-14 056,0,0,0,0,0.174133,0,1.632538,0,0.042709,0,0,1.642354006,0.227495,0.346056,-0.093352
02-20-14 115,0,0,0,0,0.174133,0,1.632538,0,0.042709,0,0,1.642354006,0.227495,0.346056,-0.093352
02-20-14 164,0,0,0,0,0.174133,0,1.632538,0,0.042709,0,0,1.642354006,0.819294,0.316334,0.146265
02-20-14 214,0,0,0,0,-0.16153,0.335663,1.08992,0.542618,0.158096,0.115387,0.648396563,1.113109111,0.819294,0.316334,0.146265
02-20-14 267,0,0,0,0,-0.16153,0,1.08992,0,0.158096,0,0,1.113109111,0.819294,0.316334,0.146265
02-20-14 320,0,0,0,0,-0.16153,0,1.08992,0,0.158096,0,0,1.113109111,0.819294,0.316334,0.146265
02-20-14 370,0,0,0,0,-0.16153,0,1.08992,0,0.158096,0,0,1.113109111,0.251474,0.66979,0.030157
02-20-14 419,0,0,0,0,-0.044998,0.116532,0.995071,0.094849,-0.043716,0.201812,0.251603106,0.997046741,0.251474,0.66979,0.030157
02-20-14 467,0,0,0,0,-0.044998,0,0.995071,0,-0.043716,0,0,0.997046741,0.251474,0.66979,0.030157
02-20-14 525,0,0,0,0,-0.044998,0,0.995071,0,-0.043716,0,0,0.997046741,0.251474,0.66979,0.030157
02-20-14 574,0,0,0,0,-0.044998,0,0.995071,0,-0.043716,0,0,0.997046741,0.154647,1.293665,-0.022111
02-20-14 625,0,0,0,0,-0.120056,0.075058,1.018738,0.023667,0.022507,0.066223,0.102855802,1.026034659,0.154647,1.293665,-0.022111
02-20-14 671,0,0,0.04,0.08,-0.120056,0,1.018738,0,0.022507,0,0,1.026034659,0.154647,1.293665,-0.022111
02-20-14 730,0,0,0.2,0.16,-0.120056,0,1.018738,0,0.022507,0,0,1.026034659,0.154647,1.293665,-0.022111
02-20-14 779,0,0,0.24,0.32,-0.120056,0,1.018738,0,0.022507,0,0,1.026034659,-1.444742,3.7475,-0.468427
02-20-14 828,0,0,0.2,0.32,0.33931,0.459366,1.100815,0.082077,-0.109253,0.13176,0.484886021,1.157091681,-1.444742,3.7475,-0.468427
02-20-14 886,0,0,0.12,0.24,0.33931,0,1.100815,0,-0.109253,0,0,1.157091681,-1.444742,3.7475,-0.468427
